strain,virus,region,date,country,division,city,CovBases,QueryCov,DepthCov,pangolin_lineage,organism,setting,location_name,ground_level,latitude,longitude,location_overview,location_type,sampling_type,object,object_specific,surface_material,object_other,surface_material_other,air_temperature_C,relative_humidity_percent,region_exposure,country_exposure
BC-0361054290,ncov,South America,2020-05-04,Chile,Region Metropolitana de Santiago,Santiago,29797,99.6455,68.0866,B.1,Environmental,Urban,Metro Estación Central (Comuna Estación Central),Above ground (open area),-33.451445,-70.678919,Station,Subway station,Surface,Handrail,?,Metal,?,?,11.0,67.0,South America,Chile
BC-0361056946,ncov,South America,2020-04-29,Chile,Region Metropolitana de Santiago,Santiago,29770,99.5552,71.6559,B.1,Environmental,Urban,Medical Center (Comuna Ñuñoa),Above ground (closed area),-33.454434,-70.60714,Office,Practitioner office,Surface,Medical bed,?,Synthetic fabric,Medical bed,?,25.0,?,South America,Chile
BC-0361057008,ncov,South America,2020-04-13,Chile,Region Metropolitana de Santiago,Santiago,29020,97.0471,9.52383,B.1,Environmental,Urban,Jumbo Plaza de Puente Alto (Comuna Puente Alto),Above ground (closed area),-33.611595,-70.576612,Supermarket,Supermarket,Surface,ATM,Keypad/card reader/machine body/screen buttons,Mixed,ATM,Painted metal/rubber/plastic/metal,22.0,36.0,South America,Chile
BC-0361057023,ncov,South America,2020-04-27,Chile,Region Metropolitana de Santiago,Santiago,28593,95.6192,6.95375,B.1,Environmental,Urban,Estación Alameda (Comuna Estación Central),Above ground (mixed area),-33.451675,-70.679205,Train Station,Train station,Surface,ATM,Keypad,Metal,ATM,?,10.0,87.0,South America,Chile
BC-0361057038,ncov,South America,2020-04-20,Chile,Region Metropolitana de Santiago,Santiago,28838,96.4385,7.61121,B.1,Environmental,Urban,PF176-Parada 3 / (M) Plaza De Puente Alto (Comuna Puente Alto),Above ground (open area),-33.609571,-70.576011,Bus stop,Bus stop,Surface,Horizontal pole,?,Metal,Horizontal pole,?,25.0,32.0,South America,Chile
BC-0361057076,ncov,South America,2020-04-27,Chile,Region Metropolitana de Santiago,Santiago,29297,97.9734,9.38431,B.1,Environmental,Urban,Metro Estación Central (Comuna Estación Central),Above ground (closed area),-33.450789,-70.678759,Station,Subway station,Surface,Ticket machine,Keypad,Metal,?,?,12.0,75.0,South America,Chile
BC-0361057091,ncov,South America,2020-04-29,Chile,Region Metropolitana de Santiago,Santiago,29760,99.5218,90.156,B.1,Environmental,Urban,Medical Center (Comuna Ñuñoa),Above ground (closed area),-33.454425,-70.607105,Office,Practitioner office,Surface,Door handle,From inside the office,Metal,Door handle,?,25.0,?,South America,Chile
BC-0361078455,ncov,South America,2020-04-20,Chile,Region Metropolitana de Santiago,Santiago,29789,99.6188,175.341,B.1,Environmental,Urban,Walmart (Comuna Macul),Above ground (open area),-33.474493,-70.598763,Supermarket,Supermarket Entrance,Surface,Fence,?,Metal,Perimeter fence,?,20.0,45.0,South America,Chile
BC-0361078892,ncov,South America,2020-04-13,Chile,Region Metropolitana de Santiago,Santiago,29809,99.6857,32.9062,B.1,Environmental,Urban,Medical Center (Comuna Ñuñoa),Above ground (closed area),-33.454255,-70.607077,Office,Practitioner office,Surface,Medical bed,?,Synthetic fabric,Medical bed,?,26.0,?,South America,Chile
BC-0361082863,ncov,South America,2020-04-13,Chile,Region Metropolitana de Santiago,Santiago,29845,99.806,28.4898,B.1,Environmental,Urban,Walmart (Comuna Macul),Above ground (open area),-33.474755,-70.598748,Supermarket,Supermarket Entrance,Surface,Fence,?,Metal,Perimeter fence,?,15.0,52.0,South America,Chile
